Series Name,Series Code,Country Name,Country Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,New Zealand,NZL,78.8,79.1,79.4,79.7,79.6,79.73,79.91,80,80.2,80,80.3,80.5,80.5,81.2,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,India,IND,64.962,65.327,65.765,66.324,66.961,67.651,68.285,68.81,69.159,69.367,69.525,68.615,65.756,66.257,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Norway,NOR,78.6,78.9,79.1,79.5,79.8,80.1,80.5,80.7,81,81.1,81.3,81.6,81.7,81,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,New Zealand,NZL,82.7,82.8,83,83.2,83.3,83.27,83.4,83.4,83.6,83.5,83.9,84.1,84,84.4,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,India,IND,68.215,68.645,69.106,69.592,70.083,70.602,71.077,71.503,71.856,72.142,72.395,71.824,68.886,69.384,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Norway,NOR,83.1,83.2,83.6,83.5,83.8,84.2,84.2,84.2,84.3,84.5,84.7,84.9,84.7,84.2,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Zealand,NZL,80.7024390243902,80.9048780487805,81.1560975609756,81.4073170731707,81.4048780487805,81.4568292682927,81.6124390243903,81.6585365853659,81.8585365853659,81.7073170731707,82.0560975609756,82.2560975609756,82.2073170731707,82.7609756097561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,India,IND,66.513,66.909,67.359,67.887,68.46,69.074,69.636,70.117,70.467,70.71,70.91,70.15,67.24,67.744,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Norway,NOR,80.7951219512195,80.9975609756098,81.2951219512195,81.4512195121951,81.7512195121951,82.1,82.3048780487805,82.4073170731707,82.609756097561,82.7585365853659,82.9585365853659,83.209756097561,83.1634146341464,82.5609756097561,..
"Population ages 0-14, male",SP.POP.0014.MA.IN,New Zealand,NZL,462188,465581,466743,466208,465494,467774,471896,477970,484210,488906,491553,497428,494842,490541,495568
"Population ages 0-14, male",SP.POP.0014.MA.IN,India,IND,201592783,201564895,201380848,201025498,200473716,199612180,198443019,197122936,195635160,194054744,192383374,190599344,188878814,187217177,185558095
"Population ages 0-14, male",SP.POP.0014.MA.IN,Norway,NOR,468743,471164,472586,474007,475735,477020,477769,479414,481241,480856,478791,475419,471247,468328,465950
"Population ages 0-14, total",SP.POP.0014.TO,New Zealand,NZL,901495,908006,910456,909374,907976,913508,923270,936462,950019,959157,961333,970608,965557,957136,967024
"Population ages 0-14, total",SP.POP.0014.TO,India,IND,384392935,384325879,383999879,383387682,382437090,380905172,378793176,376404880,373697370,370831170,367825260,364629264,361569242,358634249,355733024
"Population ages 0-14, total",SP.POP.0014.TO,Norway,NOR,914998,919741,922668,925504,929035,931602,932960,935558,938340,936962,932555,925870,917593,911740,907085
"Population ages 15-64, male",SP.POP.1564.MA.IN,New Zealand,NZL,1394109,1405632,1411033,1412465,1419487,1444764,1478696,1515947,1550736,1582896,1615677,1654265,1657724,1655761,1685349
"Population ages 15-64, male",SP.POP.1564.MA.IN,India,IND,402714845,410677043,418727029,426774881,434779546,442515942,450023210,457653770,465248052,472475512,479375657,486051680,492081401,497519359,503270194
"Population ages 15-64, male",SP.POP.1564.MA.IN,Norway,NOR,1632805,1652301,1674103,1696510,1716007,1733890,1749505,1761283,1770025,1776213,1785084,1792942,1799128,1813121,1832673
"Population ages 15-64, female",SP.POP.1564.FE.IN,New Zealand,NZL,1459459,1473485,1481008,1483901,1489577,1509672,1536991,1568338,1597462,1621621,1641871,1672356,1673877,1669771,1696998
"Population ages 15-64, female",SP.POP.1564.FE.IN,India,IND,375280793,382761368,390310453,397829068,405280918,412483499,419436547,426461342,433446061,440078207,446395775,452534765,458164165,463285026,468590333
"Population ages 15-64, female",SP.POP.1564.FE.IN,Norway,NOR,1567161,1584705,1601143,1617187,1632998,1648257,1661586,1672938,1682938,1691080,1699915,1706886,1712783,1726221,1745205
"Population ages 15-64, total",SP.POP.1564.TO,New Zealand,NZL,2853567,2879117,2892041,2896365,2909065,2954436,3015687,3084285,3148198,3204517,3257548,3326620,3331601,3325532,3382347
"Population ages 15-64, total",SP.POP.1564.TO,India,IND,777995638,793438411,809037482,824603950,840060464,854999441,869459756,884115112,898694113,912553718,925771433,938586445,950245567,960804385,971860527
"Population ages 15-64, total",SP.POP.1564.TO,Norway,NOR,3199966,3237006,3275246,3313697,3349005,3382146,3411090,3434222,3452963,3467292,3485000,3499828,3511912,3539342,3577878
"Population ages 0-14, female",SP.POP.0014.FE.IN,New Zealand,NZL,439308,442426,443712,443166,442482,445734,451373,458492,465809,470251,469780,473180,470715,466595,471456
"Population ages 0-14, female",SP.POP.0014.FE.IN,India,IND,182800151,182760984,182619031,182362184,181963373,181292991,180350157,179281944,178062210,176776426,175441886,174029920,172690428,171417071,170174929
"Population ages 0-14, female",SP.POP.0014.FE.IN,Norway,NOR,446255,448577,450083,451497,453301,454582,455192,456144,457099,456105,453764,450451,446345,443412,441135
"Population, total",SP.POP.TOTL,New Zealand,NZL,4302600,4350700,4384000,4408100,4442100,4516500,4609400,4714100,4813600,4900600,4979200,5090200,5111300,5117200,5223100
"Population, total",SP.POP.TOTL,India,IND,1223640160,1240613620,1257621191,1274487215,1291132063,1307246509,1322866505,1338636340,1354195680,1369003306,1383112050,1396387127,1407563842,1417173173,1428627663
"Population, total",SP.POP.TOTL,Norway,NOR,4828726,4889252,4953088,5018573,5079623,5137232,5188607,5234519,5276968,5311916,5347896,5379475,5408320,5457127,5519594
"Population, female",SP.POP.TOTL.FE.IN,New Zealand,NZL,2198070,2222924,2240361,2252797,2268940,2304264,2348652,2399067,2446947,2486439,2517499,2567944,2578073,2580631,2633658
"Population, female",SP.POP.TOTL.FE.IN,India,IND,590747758,599047591,607376801,615647779,623809180,631697152,639323292,647012921,654607791,661854076,668786993,675389679,681060412,685992675,691776131
"Population, female",SP.POP.TOTL.FE.IN,Norway,NOR,2417843,2445466,2473240,2501197,2528233,2554202,2577286,2598214,2618212,2635181,2652054,2666540,2680087,2703524,2733825
"Population, male",SP.POP.TOTL.MA.IN,New Zealand,NZL,2104531,2127776,2143639,2155304,2173160,2212236,2260747,2315033,2366653,2414161,2461701,2522257,2533227,2536570,2589442
"Population, male",SP.POP.TOTL.MA.IN,India,IND,632892402,641566029,650244390,658839435,667322883,675549357,683543213,691623419,699587889,707149230,714325057,720997448,726503429,731180498,736851532
"Population, male",SP.POP.TOTL.MA.IN,Norway,NOR,2410883,2443786,2479849,2517376,2551391,2583030,2611322,2636304,2658756,2676735,2695841,2712935,2728232,2753603,2785769
Rural population (% of total population),SP.RUR.TOTL.ZS,New Zealand,NZL,13.78,13.84,13.9,13.839,13.779,13.719,13.659,13.6,13.534,13.462,13.385,13.301,13.211,13.116,13.015
Rural population (% of total population),SP.RUR.TOTL.ZS,India,IND,69.413,69.07,68.724,68.366,67.997,67.616,67.223,66.818,66.4,65.97,65.528,65.074,64.607,64.128,63.636
Rural population (% of total population),SP.RUR.TOTL.ZS,Norway,NOR,21.185,20.898,20.545,20.126,19.714,19.308,18.909,18.515,18.129,17.752,17.384,17.026,16.677,16.336,16.005
Urban population (% of total population),SP.URB.TOTL.IN.ZS,New Zealand,NZL,86.22,86.16,86.1,86.161,86.221,86.281,86.341,86.4,86.466,86.538,86.615,86.699,86.789,86.884,86.985
Urban population (% of total population),SP.URB.TOTL.IN.ZS,India,IND,30.587,30.93,31.276,31.634,32.003,32.384,32.777,33.182,33.6,34.03,34.472,34.926,35.393,35.872,36.364
