Series Name,Series Code,Country Name,Country Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,New Zealand,NZL,63.989,63.517,63.893,63.317,63.815,64.958,65.063,66.37,67.549,67.835,67.654,67.005,68.116,68.973,69.409
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Norway,NOR,70.425,69.316,69.034,69.186,68.68,68.418,67.945,67.217,66.822,67.4,64.642,60.982,63.091,63.603,63.331
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,India,IND,..,53.027,..,51.702,..,..,..,..,..,43.921,46.138,46.489,47.882,49.829,53.428
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,New Zealand,NZL,58.306,57.686,58.26,57.969,58.453,59.503,59.669,61.061,62.081,62.784,62.895,61.927,63.548,64.534,64.934
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Norway,NOR,67.902,66.638,66.581,66.635,66.152,65.977,65.438,65.011,64.569,64.766,62.332,59.416,58.214,60.254,59.987
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,India,IND,..,27.806,..,26.233,..,..,..,..,..,19.145,22.578,24.398,25.579,26.963,33.659
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,New Zealand,NZL,70.073,69.761,69.926,69.05,69.556,70.753,70.741,71.902,73.212,73.048,72.554,72.228,72.814,73.531,73.995
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Norway,NOR,72.886,71.923,71.413,71.648,71.118,70.771,70.354,69.338,68.987,69.933,66.849,62.445,68.225,66.923,66.649
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,India,IND,..,77.334,..,76.459,..,..,..,..,..,68.219,69.6,68.137,70.046,72.406,73.183
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,
Last Updated: 09/19/2024,,,,,,,,,,,,,,,,,,
